종목코드,종목명,종가,대비,시가,고가,저가,현물가,정산가,거래량,거래대금,미결제약정
"B0165577","코스피200 C 202605   577.5 (주간)",,,,,,"0.00",,"0","0.0","0"
"B0165580","코스피200 C 202605   580.0 (야간)",,,,,,"0.00",,"0","0.0","0"
"B0165580","코스피200 C 202605   580.0 (주간)",,,,,,"0.00",,"0","0.0","0"
"B0165582","코스피200 C 202605   582.5 (야간)",,,,,,"0.00",,"0","0.0","0"
"B0165582","코스피200 C 202605   582.5 (주간)",,,,,,"0.00",,"0","0.0","0"
"B0165585","코스피200 C 202605   585.0 (야간)",,,,,,"0.00",,"0","0.0","0"
"B0165585","코스피200 C 202605   585.0 (주간)",,,,,,"0.00",,"0","0.0","0"
"B0165587","코스피200 C 202605   587.5 (야간)",,,,,,"0.00",,"0","0.0","0"
"B0165587","코스피200 C 202605   587.5 (주간)",,,,,,"0.00",,"0","0.0","0"
"B0165590","코스피200 C 202605   590.0 (야간)",,,,,,"0.00",,"0","0.0","0"
"B0165590","코스피200 C 202605   590.0 (주간)",,,,,,"0.00",,"0","0.0","0"
"B0165592","코스피200 C 202605   592.5 (야간)",,,,,,"0.00",,"0","0.0","0"
"B0165592","코스피200 C 202605   592.5 (주간)",,,,,,"0.00",,"0","0.0","0"
"B0165595","코스피200 C 202605   595.0 (야간)",,,,,,"0.00",,"0","0.0","0"
"B0165595","코스피200 C 202605   595.0 (주간)",,,,,,"0.00",,"0","0.0","0"
"B0165597","코스피200 C 202605   597.5 (야간)",,,,,,"0.00",,"0","0.0","1"
"B0165597","코스피200 C 202605   597.5 (주간)",,,,,,"0.00",,"0","0.0","1"
"B0165600","코스피200 C 202605   600.0 (야간)",,,,,,"0.00",,"0","0.0","1"
"B0165600","코스피200 C 202605   600.0 (주간)",,,,,,"0.00",,"0","0.0","1"
"B0165602","코스피200 C 202605   602.5 (야간)",,,,,,"0.00",,"0","0.0","1"
"B0165602","코스피200 C 202605   602.5 (주간)",,,,,,"0.00",,"0","0.0","1"
"B0165605","코스피200 C 202605   605.0 (야간)",,,,,,"0.00",,"0","0.0","0"
"B0165605","코스피200 C 202605   605.0 (주간)",,,,,,"0.00",,"0","0.0","0"
"B0165607","코스피200 C 202605   607.5 (야간)",,,,,,"0.00",,"0","0.0","1"
"B0165607","코스피200 C 202605   607.5 (주간)",,,,,,"0.00",,"0","0.0","1"
"B0165610","코스피200 C 202605   610.0 (야간)",,,,,,"0.00",,"0","0.0","1"
"B0165610","코스피200 C 202605   610.0 (주간)",,,,,,"0.00",,"0","0.0","1"
"B0165612","코스피200 C 202605   612.5 (야간)",,,,,,"0.00",,"0","0.0","0"
"B0165612","코스피200 C 202605   612.5 (주간)",,,,,,"0.00",,"0","0.0","0"
"B0165615","코스피200 C 202605   615.0 (야간)",,,,,,"0.00",,"0","0.0","0"
"B0165615","코스피200 C 202605   615.0 (주간)",,,,,,"0.00",,"0","0.0","0"
"B0165617","코스피200 C 202605   617.5 (야간)",,,,,,"0.00",,"0","0.0","1"
"B0165617","코스피200 C 202605   617.5 (주간)",,,,,,"0.00",,"0","0.0","1"
"B0165620","코스피200 C 202605   620.0 (야간)",,,,,,"0.00",,"0","0.0","0"
"B0165620","코스피200 C 202605   620.0 (주간)",,,,,,"0.00",,"0","0.0","0"
"B0165622","코스피200 C 202605   622.5 (야간)",,,,,,"0.00",,"0","0.0","2"
"B0165622","코스피200 C 202605   622.5 (주간)",,,,,,"0.00",,"0","0.0","2"
"B0165625","코스피200 C 202605   625.0 (야간)",,,,,,"0.00",,"0","0.0","56"
"B0165625","코스피200 C 202605   625.0 (주간)",,,,,,"0.00",,"0","0.0","56"
"B0165627","코스피200 C 202605   627.5 (야간)",,,,,,"0.00",,"0","0.0","2"
"B0165627","코스피200 C 202605   627.5 (주간)",,,,,,"0.00",,"0","0.0","2"
"B0165630","코스피200 C 202605   630.0 (야간)",,,,,,"0.00",,"0","0.0","0"
"B0165630","코스피200 C 202605   630.0 (주간)",,,,,,"0.00",,"0","0.0","0"
"B0165632","코스피200 C 202605   632.5 (야간)",,,,,,"0.00",,"0","0.0","1"
"B0165632","코스피200 C 202605   632.5 (주간)",,,,,,"0.00",,"0","0.0","1"
"B0165635","코스피200 C 202605   635.0 (야간)",,,,,,"0.00",,"0","0.0","1"
"B0165635","코스피200 C 202605   635.0 (주간)",,,,,,"0.00",,"0","0.0","1"
"B0165637","코스피200 C 202605   637.5 (야간)",,,,,,"0.00",,"0","0.0","1"
"B0165637","코스피200 C 202605   637.5 (주간)",,,,,,"0.00",,"0","0.0","1"
"B0165640","코스피200 C 202605   640.0 (야간)",,,,,,"0.00",,"0","0.0","1"
"B0165640","코스피200 C 202605   640.0 (주간)",,,,,,"0.00",,"0","0.0","1"
"B0165642","코스피200 C 202605   642.5 (야간)",,,,,,"0.00",,"0","0.0","2"
"B0165642","코스피200 C 202605   642.5 (주간)",,,,,,"0.00",,"0","0.0","2"
"B0165645","코스피200 C 202605   645.0 (야간)",,,,,,"0.00",,"0","0.0","1"
"B0165645","코스피200 C 202605   645.0 (주간)",,,,,,"0.00",,"0","0.0","1"
"B0165647","코스피200 C 202605   647.5 (야간)",,,,,,"0.00",,"0","0.0","1"
"B0165647","코스피200 C 202605   647.5 (주간)",,,,,,"0.00",,"0","0.0","1"
"B0165650","코스피200 C 202605   650.0 (야간)",,,,,,"0.00",,"0","0.0","201"
"B0165650","코스피200 C 202605   650.0 (주간)",,,,,,"0.00",,"0","0.0","201"
"B0165652","코스피200 C 202605   652.5 (야간)",,,,,,"0.00",,"0","0.0","7"
"B0165652","코스피200 C 202605   652.5 (주간)",,,,,,"0.00",,"0","0.0","7"
"B0165655","코스피200 C 202605   655.0 (야간)",,,,,,"0.00",,"0","0.0","0"
"B0165655","코스피200 C 202605   655.0 (주간)",,,,,,"0.00",,"0","0.0","0"
"B0165657","코스피200 C 202605   657.5 (야간)",,,,,,"0.00",,"0","0.0","1"
"B0165657","코스피200 C 202605   657.5 (주간)",,,,,,"0.00",,"0","0.0","1"
"B0165660","코스피200 C 202605   660.0 (야간)",,,,,,"0.00",,"0","0.0","4"
"B0165660","코스피200 C 202605   660.0 (주간)",,,,,,"0.00",,"0","0.0","4"
"B0165662","코스피200 C 202605   662.5 (야간)",,,,,,"0.00",,"0","0.0","2"
"B0165662","코스피200 C 202605   662.5 (주간)",,,,,,"0.00",,"0","0.0","2"
"B0165665","코스피200 C 202605   665.0 (야간)",,,,,,"0.00",,"0","0.0","2"
"B0165665","코스피200 C 202605   665.0 (주간)",,,,,,"0.00",,"0","0.0","2"
"B0165667","코스피200 C 202605   667.5 (야간)",,,,,,"0.00",,"0","0.0","3"
"B0165667","코스피200 C 202605   667.5 (주간)",,,,,,"0.00",,"0","0.0","3"
"B0165670","코스피200 C 202605   670.0 (야간)",,,,,,"0.00",,"0","0.0","0"
"B0165670","코스피200 C 202605   670.0 (주간)",,,,,,"0.00",,"0","0.0","0"
"B0165672","코스피200 C 202605   672.5 (야간)",,,,,,"0.00",,"0","0.0","2"
"B0165672","코스피200 C 202605   672.5 (주간)",,,,,,"0.00",,"0","0.0","2"
"B0165675","코스피200 C 202605   675.0 (야간)",,,,,,"0.00",,"0","0.0","2"
"B0165675","코스피200 C 202605   675.0 (주간)",,,,,,"0.00",,"0","0.0","2"
"B0165677","코스피200 C 202605   677.5 (야간)",,,,,,"0.00",,"0","0.0","1"
"B0165677","코스피200 C 202605   677.5 (주간)",,,,,,"0.00",,"0","0.0","1"
"B0165680","코스피200 C 202605   680.0 (야간)",,,,,,"0.00",,"0","0.0","1"
"B0165680","코스피200 C 202605   680.0 (주간)",,,,,,"0.00",,"0","0.0","1"
"B0165682","코스피200 C 202605   682.5 (야간)",,,,,,"0.00",,"0","0.0","3"
"B0165682","코스피200 C 202605   682.5 (주간)",,,,,,"0.00",,"0","0.0","3"
"B0165685","코스피200 C 202605   685.0 (야간)",,,,,,"0.00",,"0","0.0","1"
"B0165685","코스피200 C 202605   685.0 (주간)",,,,,,"0.00",,"0","0.0","1"
"B0165687","코스피200 C 202605   687.5 (야간)",,,,,,"0.00",,"0","0.0","0"
"B0165687","코스피200 C 202605   687.5 (주간)",,,,,,"0.00",,"0","0.0","0"
"B0165690","코스피200 C 202605   690.0 (야간)",,,,,,"0.00",,"0","0.0","5"
"B0165690","코스피200 C 202605   690.0 (주간)",,,,,,"0.00",,"0","0.0","5"
"B0165692","코스피200 C 202605   692.5 (야간)",,,,,,"0.00",,"0","0.0","2"
"B0165692","코스피200 C 202605   692.5 (주간)",,,,,,"0.00",,"0","0.0","2"
"B0165695","코스피200 C 202605   695.0 (야간)",,,,,,"0.00",,"0","0.0","0"
"B0165695","코스피200 C 202605   695.0 (주간)",,,,,,"0.00",,"0","0.0","0"
"B0165697","코스피200 C 202605   697.5 (야간)",,,,,,"0.00",,"0","0.0","1"
"B0165697","코스피200 C 202605   697.5 (주간)",,,,,,"0.00",,"0","0.0","1"
"B0165700","코스피200 C 202605   700.0 (야간)",,,,,,"0.00",,"0","0.0","8"
"B0165700","코스피200 C 202605   700.0 (주간)",,,,,,"0.00",,"0","0.0","8"
"B0165702","코스피200 C 202605   702.5 (야간)",,,,,,"0.00",,"0","0.0","1"
"B0165702","코스피200 C 202605   702.5 (주간)",,,,,,"0.00",,"0","0.0","1"
"B0165705","코스피200 C 202605   705.0 (야간)",,,,,,"0.00",,"0","0.0","0"
