idx,매물ID,상세링크,error
395,41046522,https://fem.encar.com/cars/detail/41046522?advClickPosition=mweb_mhightlight_g145_t9990&listAdvType=mhighlight&type=detail&view_type=checked,"HTTPConnectionPool(host='localhost', port=1233): Read timed out. (read timeout=120)"
396,40789622,https://fem.encar.com/cars/detail/40789622?advClickPosition=mweb_mhightlight_g146_t9990&listAdvType=mhighlight&type=detail&view_type=checked,"HTTPConnectionPool(host='localhost', port=1233): Read timed out. (read timeout=120)"
397,40133340,https://fem.encar.com/cars/detail/40133340?advClickPosition=mweb_mhightlight_g147_t9990&listAdvType=mhighlight&type=detail&view_type=checked,"HTTPConnectionPool(host='localhost', port=1233): Read timed out. (read timeout=120)"
398,40517360,https://fem.encar.com/cars/detail/40517360?advClickPosition=mweb_mhightlight_g148_t9990&listAdvType=mhighlight&type=detail&view_type=checked,"HTTPConnectionPool(host='localhost', port=1233): Read timed out. (read timeout=120)"
399,41276771,https://fem.encar.com/cars/detail/41276771?advClickPosition=mweb_mhightlight_g149_t9990&listAdvType=mhighlight&type=detail&view_type=checked,"HTTPConnectionPool(host='localhost', port=1233): Read timed out. (read timeout=120)"
400,38657547,https://fem.encar.com/cars/detail/38657547?advClickPosition=mweb_mhightlight_g150_t9990&listAdvType=mhighlight&type=detail&view_type=normal,"HTTPConnectionPool(host='localhost', port=1233): Read timed out. (read timeout=120)"
401,41278022,https://fem.encar.com/cars/detail/41278022?advClickPosition=mweb_mhightlight_g151_t9990&listAdvType=mhighlight&type=detail&view_type=normal,"HTTPConnectionPool(host='localhost', port=1233): Read timed out. (read timeout=120)"
402,41233280,https://fem.encar.com/cars/detail/41233280?advClickPosition=mweb_mhightlight_g152_t9990&listAdvType=mhighlight&type=detail&view_type=hs_ad,"HTTPConnectionPool(host='localhost', port=1233): Read timed out. (read timeout=120)"
403,40974559,https://fem.encar.com/cars/detail/40974559?advClickPosition=mweb_mhightlight_g153_t9990&listAdvType=mhighlight&type=detail&view_type=checked,"HTTPConnectionPool(host='localhost', port=1233): Read timed out. (read timeout=120)"
404,40978125,https://fem.encar.com/cars/detail/40978125?advClickPosition=mweb_mhightlight_g154_t9990&listAdvType=mhighlight&type=detail&view_type=checked,"HTTPConnectionPool(host='localhost', port=1233): Read timed out. (read timeout=120)"
405,41339235,https://fem.encar.com/cars/detail/41339235?advClickPosition=mweb_mhightlight_g155_t9990&listAdvType=mhighlight&type=detail&view_type=checked,"HTTPConnectionPool(host='localhost', port=1233): Read timed out. (read timeout=120)"
406,40277214,https://fem.encar.com/cars/detail/40277214?advClickPosition=mweb_mhightlight_g156_t9990&listAdvType=mhighlight&type=detail&view_type=checked,"HTTPConnectionPool(host='localhost', port=1233): Read timed out. (read timeout=120)"
407,40757451,https://fem.encar.com/cars/detail/40757451?advClickPosition=mweb_mhightlight_g157_t9990&listAdvType=mhighlight&type=detail&view_type=normal,"HTTPConnectionPool(host='localhost', port=1233): Read timed out. (read timeout=120)"
408,41283010,https://fem.encar.com/cars/detail/41283010?advClickPosition=mweb_mhightlight_g158_t9990&listAdvType=mhighlight&type=detail&view_type=checked,"HTTPConnectionPool(host='localhost', port=1233): Read timed out. (read timeout=120)"
409,40548948,https://fem.encar.com/cars/detail/40548948?advClickPosition=mweb_mhightlight_g159_t9990&listAdvType=mhighlight&type=detail&view_type=normal,"HTTPConnectionPool(host='localhost', port=1233): Read timed out. (read timeout=120)"
410,40476381,https://fem.encar.com/cars/detail/40476381?advClickPosition=mweb_mhightlight_g160_t9990&listAdvType=mhighlight&type=detail&view_type=checked,"HTTPConnectionPool(host='localhost', port=1233): Read timed out. (read timeout=120)"
411,40459828,https://fem.encar.com/cars/detail/40459828?advClickPosition=mweb_mhightlight_g161_t9990&listAdvType=mhighlight&type=detail&view_type=normal,"HTTPConnectionPool(host='localhost', port=1233): Read timed out. (read timeout=120)"
412,41401046,https://fem.encar.com/cars/detail/41401046?advClickPosition=mweb_mhightlight_g162_t9990&listAdvType=mhighlight&type=detail&view_type=checked,"HTTPConnectionPool(host='localhost', port=1233): Read timed out. (read timeout=120)"
413,41529317,https://fem.encar.com/cars/detail/41529317?advClickPosition=mweb_mhightlight_g163_t9990&listAdvType=mhighlight&type=detail&view_type=normal,"HTTPConnectionPool(host='localhost', port=1233): Read timed out. (read timeout=120)"
